,Source,Target,Weight
0,Minigirl17,AlexaWikipediaSmegma,2
1,Minigirl17,Government_Slavery,2
2,AlexaWikipediaSmegma,Minigirl17,1
3,AlexaWikipediaSmegma,-AragornElessar-,5
4,AlexaWikipediaSmegma,Havenkeld,5
5,AlexaWikipediaSmegma,palacesofparagraphs,3
6,AlexaWikipediaSmegma,undiscoveredlama,3
7,-AragornElessar-,AlexaWikipediaSmegma,8
8,mnmgod,AlexaWikipediaSmegma,2
9,mnmgod,Theo93,4
10,Theo93,mnmgod,5
11,Theo93,RetiredGaymerEsq,5
12,Theo93,math2ndperiod,1
13,Theo93,Hq3473,31
14,RetiredGaymerEsq,AlexaWikipediaSmegma,1
15,RetiredGaymerEsq,Theo93,4
16,Government_Slavery,Minigirl17,3
17,Havenkeld,AlexaWikipediaSmegma,6
18,palacesofparagraphs,AlexaWikipediaSmegma,4
19,undiscoveredlama,AlexaWikipediaSmegma,3
20,math2ndperiod,Theo93,2
21,Hq3473,AlexaWikipediaSmegma,1
22,Hq3473,Theo93,30
