,Source,Target,Weight
0,PL_TOC,Sweddy,2
1,Sweddy,PL_TOC,2
2,Sweddy,Ansuz07,12
3,Sweddy,radialomens,6
4,Sweddy,Sayakai,1
5,Sweddy,_I_Have_No_Mouth_,1
6,Sweddy,Huntingmoa,14
7,Sweddy,PolkaDottedFuck,1
8,Sweddy,PaulSharke,3
9,Sweddy,renoops,9
10,Sweddy,RooRooNumber2,1
11,Sweddy,NovelTie,4
12,Ansuz07,Sweddy,13
13,Ansuz07,testrail,6
14,Ansuz07,gremy0,4
15,testrail,Ansuz07,8
16,testrail,fluffhoof,1
17,testrail,StormySands,1
18,testrail,radialomens,5
19,testrail,Sayakai,7
20,fluffhoof,testrail,1
21,StormySands,testrail,1
22,radialomens,testrail,5
23,radialomens,Sweddy,8
24,Sayakai,Sweddy,1
25,Sayakai,testrail,7
26,Sayakai,cupcakesarethedevil,1
27,Freevoulous,radialomens,1
28,Freevoulous,Thin-White-Duke,3
29,Freevoulous,Huntingmoa,4
30,Freevoulous,Sweddy,1
31,Thin-White-Duke,Freevoulous,3
32,_I_Have_No_Mouth_,Sweddy,1
33,JustAMinuteAnHourAgo,Sweddy,1
34,Huntingmoa,Sweddy,16
35,Huntingmoa,Freevoulous,3
36,PolkaDottedFuck,Sweddy,2
37,cupcakesarethedevil,Sayakai,1
38,gremy0,Ansuz07,4
39,PaulSharke,Sweddy,3
40,renoops,Sweddy,10
41,RooRooNumber2,Sweddy,1
42,NovelTie,Sweddy,5
43,jbt2003,Sweddy,1
44,jbt2003,Fuckn_hipsters,2
45,Fuckn_hipsters,jbt2003,2
