,Source,Target,Weight
0,logic_card,Tullyswimmer,3
1,Tullyswimmer,logic_card,3
2,Tullyswimmer,sharkbait76,2
3,Tullyswimmer,Ankthar_LeMarre,1
4,Tullyswimmer,silverdevilboy,10
5,Tullyswimmer,GoldenMarauder,3
6,Tullyswimmer,shadowarc72,2
7,Tullyswimmer,tew13til,3
8,Tullyswimmer,hacksoncode,11
9,Tullyswimmer,taosaur,1
10,Tullyswimmer,darwin2500,1
11,Tullyswimmer,Mtl325,1
12,Tullyswimmer,h20blunt,2
13,Tullyswimmer,BKachur,1
14,Tullyswimmer,criticalcontext,2
15,Tullyswimmer,will592,3
16,Tullyswimmer,DrunkFishBreatheAir,1
17,Tullyswimmer,lasagnaman,1
18,Tullyswimmer,keeklesandwich,3
19,Tullyswimmer,YourFairyGodmother,3
20,Tullyswimmer,Indon_Dasani,1
21,Tullyswimmer,pikk,1
22,Tullyswimmer,superH3R01N3,2
23,sharkbait76,Tullyswimmer,2
24,Ankthar_LeMarre,Tullyswimmer,1
25,Ankthar_LeMarre,thatguy3444,1
26,silverdevilboy,Tullyswimmer,11
27,silverdevilboy,JohnLockeNJ,1
28,thatguy3444,Ankthar_LeMarre,2
29,JohnLockeNJ,silverdevilboy,1
30,GoldenMarauder,Tullyswimmer,4
31,shadowarc72,Tullyswimmer,2
32,tew13til,Tullyswimmer,3
33,hacksoncode,Tullyswimmer,12
34,taosaur,Tullyswimmer,1
35,darwin2500,Tullyswimmer,1
36,Mtl325,Tullyswimmer,1
37,DeltaBot,Tullyswimmer,1
38,h20blunt,Tullyswimmer,2
39,John02904,Tullyswimmer,1
40,John02904,Lagkiller,1
41,Lagkiller,John02904,2
42,BKachur,Tullyswimmer,2
43,BKachur,gyroda,1
44,criticalcontext,Tullyswimmer,2
45,gyroda,BKachur,1
46,will592,Tullyswimmer,3
47,DrunkFishBreatheAir,Tullyswimmer,2
48,lasagnaman,Tullyswimmer,1
49,keeklesandwich,Tullyswimmer,3
50,Mark_c_pugner,Mtl325,1
51,Sociably_Luke,Nepene,1
52,YourFairyGodmother,Tullyswimmer,3
53,Indon_Dasani,Tullyswimmer,2
54,pikk,Tullyswimmer,1
55,that_big_negro,Tullyswimmer,1
56,superH3R01N3,Tullyswimmer,2
