,Source,Target,Weight
0,muyamable,AggressiveSloth,5
1,muyamable,bracs279,1
2,AggressiveSloth,muyamable,4
3,AggressiveSloth,Slurrpin,1
4,AggressiveSloth,Frogmarsh,2
5,AggressiveSloth,darwin2500,3
6,AggressiveSloth,CJGibson,2
7,AggressiveSloth,BusyLuckyMud,1
8,AggressiveSloth,Huntingmoa,2
9,AggressiveSloth,Ipostcontrarian,3
10,AggressiveSloth,brock_lee,1
11,AggressiveSloth,indielib,1
12,AggressiveSloth,caw81,2
13,AggressiveSloth,hacksoncode,2
14,AggressiveSloth,ClosetDoorEnthusiast,1
15,bracs279,muyamable,2
16,bracs279,Slurrpin,1
17,Slurrpin,AggressiveSloth,2
18,Slurrpin,bracs279,1
19,Slurrpin,Lostinthesauce10,1
20,Slurrpin,RadioactiveAppendix,1
21,Slurrpin,alfredo094,6
22,Slurrpin,Itisforsexy,8
23,Slurrpin,persolb,2
24,Slurrpin,skysinsane,1
25,Slurrpin,RemingtonMol,1
26,Slurrpin,expresidentmasks,6
27,Slurrpin,Jabbam,3
28,Lostinthesauce10,Slurrpin,1
29,RadioactiveAppendix,Slurrpin,1
30,alfredo094,Slurrpin,6
31,Frogmarsh,AggressiveSloth,2
32,Frogmarsh,NoFluxGiven257,1
33,NoFluxGiven257,Frogmarsh,1
34,darwin2500,AggressiveSloth,3
35,darwin2500,someWalkingShadow,1
36,darwin2500,Ader_anhilator,1
37,CJGibson,AggressiveSloth,3
38,BusyLuckyMud,AggressiveSloth,1
39,SaltyHatch,BusyLuckyMud,1
40,schfourteen-teen,AggressiveSloth,1
41,someWalkingShadow,darwin2500,2
42,Ader_anhilator,darwin2500,2
43,Itisforsexy,Slurrpin,8
44,persolb,Slurrpin,2
45,skysinsane,Slurrpin,1
46,RemingtonMol,Slurrpin,1
47,expresidentmasks,Slurrpin,6
48,Jabbam,Slurrpin,3
49,Huntingmoa,AggressiveSloth,3
50,wahtisthisidonteven,AggressiveSloth,1
51,wahtisthisidonteven,Grunt08,2
52,Grunt08,wahtisthisidonteven,3
53,Ipostcontrarian,AggressiveSloth,3
54,brock_lee,AggressiveSloth,1
55,jesusonadinosaur,darwin2500,1
56,tehfunnymans,AggressiveSloth,1
57,indielib,AggressiveSloth,1
58,caw81,AggressiveSloth,3
59,hacksoncode,AggressiveSloth,3
60,ClosetDoorEnthusiast,AggressiveSloth,2
61,eatmyshit,AggressiveSloth,1
62,sospeso,eatmyshit,1
