,Source,Target,Weight
0,infinitepaths,walrussingsatmidnite,2
1,walrussingsatmidnite,infinitepaths,1
2,walrussingsatmidnite,ACrusaderA,1
3,walrussingsatmidnite,5iMbA,1
4,walrussingsatmidnite,neofederalist,2
5,walrussingsatmidnite,walrussingsatmidnite,2
6,walrussingsatmidnite,bigman_c,1
7,FetusFondler,walrussingsatmidnite,1
8,FetusFondler,nickburgess,1
9,FetusFondler,thingscouldbeworse,1
10,nickburgess,FetusFondler,2
11,thingscouldbeworse,FetusFondler,1
12,marojelly,FetusFondler,1
13,marojelly,howdoireachthese,2
14,howdoireachthese,marojelly,2
15,bigchimp121,walrussingsatmidnite,1
16,aliasjr,bigchimp121,1
17,cullen9,walrussingsatmidnite,1
18,atlasflubbed,cullen9,1
19,antisocialmedic,walrussingsatmidnite,1
20,antisocialmedic,theLaugher,3
21,antisocialmedic,FlashVortex0,1
22,antisocialmedic,adurango,1
23,antisocialmedic,VBassmeister,2
24,antisocialmedic,panic_bread,1
25,antisocialmedic,Reason-and-rhyme,2
26,antisocialmedic,KestrelLowing,2
27,theLaugher,antisocialmedic,3
28,FlashVortex0,antisocialmedic,1
29,adurango,antisocialmedic,1
30,VBassmeister,antisocialmedic,2
31,panic_bread,antisocialmedic,1
32,Reason-and-rhyme,antisocialmedic,2
33,ACrusaderA,walrussingsatmidnite,2
34,mostlyrelevant,ACrusaderA,1
35,DocCannery84,mostlyrelevant,1
36,5iMbA,walrussingsatmidnite,2
37,5iMbA,RiPont,2
38,5iMbA,Mathewdm423,1
39,5iMbA,hijh,1
40,RiPont,5iMbA,2
41,RiPont,Soccerismylife,1
42,Soccerismylife,walrussingsatmidnite,1
43,Removalsc,walrussingsatmidnite,1
44,Playrslayer,Removalsc,1
45,xXSJADOo,walrussingsatmidnite,1
46,revised_and_updated,xXSJADOo,1
47,Mathewdm423,5iMbA,1
48,hijh,5iMbA,2
49,neofederalist,walrussingsatmidnite,2
50,GivenToFly164,walrussingsatmidnite,1
51,GivenToFly164,almightySapling,2
52,KestrelLowing,GivenToFly164,1
53,KestrelLowing,antisocialmedic,1
54,CestMoiIci,antisocialmedic,1
55,almightySapling,GivenToFly164,2
56,almightySapling,AdminsAreComplicit,1
57,feraxil,walrussingsatmidnite,1
58,feraxil,NIkaTheGreat,1
59,feraxil,ChocPineapple,2
60,feraxil,joijoijawer,1
61,TriggerTX,feraxil,1
62,Dope_train,TriggerTX,1
63,NIkaTheGreat,feraxil,1
64,ChocPineapple,feraxil,2
65,joijoijawer,feraxil,1
66,AdminsAreComplicit,walrussingsatmidnite,1
67,AdminsAreComplicit,firesword24,1
68,AdminsAreComplicit,Breepop,1
69,AdminsAreComplicit,sportsballexpert,2
70,AdminsAreComplicit,almightySapling,1
71,AdminsAreComplicit,DevinGPrice,1
72,AdminsAreComplicit,Oolongee_Bologna,1
73,AdminsAreComplicit,sysiphean,2
74,firesword24,AdminsAreComplicit,2
75,rawwwse,AdminsAreComplicit,1
76,Breepop,AdminsAreComplicit,1
77,sportsballexpert,AdminsAreComplicit,2
78,gavin_freemason,AdminsAreComplicit,1
79,DevinGPrice,AdminsAreComplicit,1
80,Oolongee_Bologna,AdminsAreComplicit,1
81,IrishCreamPied,AdminsAreComplicit,1
82,IrishCreamPied,TheLegumeTroubadour,1
83,sysiphean,IrishCreamPied,1
84,sysiphean,AdminsAreComplicit,1
85,TheLegumeTroubadour,AdminsAreComplicit,1
86,TheLegumeTroubadour,causeWhyNotMate,1
87,causeWhyNotMate,TheLegumeTroubadour,1
88,Cultist_O,AdminsAreComplicit,1
89,BoSknight,Cultist_O,1
90,bigman_c,walrussingsatmidnite,1
91,SmolderingDesigns,walrussingsatmidnite,1
