,Source,Target,Weight
0,Salanmander,badmonkingpin,2
1,badmonkingpin,Salanmander,1
2,badmonkingpin,x1uo3yd,1
3,badmonkingpin,Padfoot95,1
4,badmonkingpin,moonflower,1
5,badmonkingpin,whatakatie,1
6,x1uo3yd,badmonkingpin,1
7,746865626c617a,Salanmander,1
8,Padfoot95,badmonkingpin,1
9,moonflower,badmonkingpin,1
10,I_am_the_night,badmonkingpin,1
11,I_am_the_night,RhynoD,2
12,RhynoD,badmonkingpin,1
13,RhynoD,I_am_the_night,2
14,whatakatie,badmonkingpin,1
15,lalliesaurus,badmonkingpin,1
16,MasterGrok,badmonkingpin,1
17,SocialJusticeWizard_,MasterGrok,1
