,Source,Target,Weight
0,Glory2Hypnotoad,rmhildebrandt,1
1,rmhildebrandt,Glory2Hypnotoad,1
2,rmhildebrandt,MasterGrok,1
3,rmhildebrandt,OFGhost,1
4,rmhildebrandt,utstudent4trump,1
5,rmhildebrandt,kublahkoala,1
6,rmhildebrandt,fenderkruse,2
7,rmhildebrandt,abutthole,4
8,rmhildebrandt,Ansuz07,1
9,rmhildebrandt,vagunowner94,1
10,MasterGrok,rmhildebrandt,1
11,MasterGrok,OFGhost,8
12,neofederalist,rmhildebrandt,1
13,OFGhost,MasterGrok,8
14,OFGhost,ellipses1,5
15,OFGhost,GlyphGryph,2
16,OFGhost,CoyotePatronus,7
17,OFGhost,vagunowner94,2
18,OFGhost,rmhildebrandt,1
19,OFGhost,kd131313,1
20,Rosevkiet,rmhildebrandt,1
21,MMountain_,Rosevkiet,1
22,MMountain_,GlyphGryph,2
23,MMountain_,CoSh,4
24,MMountain_,sarcasm_is_love,1
25,MMountain_,BurpFarter3000,1
26,MMountain_,Ansuz07,1
27,MMountain_,IJerkOffToSlutwalks,2
28,MMountain_,Sine_Habitus,2
29,MMountain_,Lucas2616,1
30,MMountain_,Mdcastle,1
31,MMountain_,championofobscurity,3
32,ellipses1,OFGhost,5
33,GlyphGryph,OFGhost,2
34,GlyphGryph,rmhildebrandt,1
35,GlyphGryph,MMountain_,1
36,utstudent4trump,rmhildebrandt,1
37,Roflcaust,rmhildebrandt,1
38,Roflcaust,DianaWinters,1
39,Roflcaust,Sine_Habitus,4
40,DianaWinters,Roflcaust,1
41,Sine_Habitus,Roflcaust,4
42,Sine_Habitus,Ansuz07,4
43,Sine_Habitus,MMountain_,2
44,CoSh,MMountain_,5
45,CoSh,BurpFarter3000,3
46,BurpFarter3000,GlyphGryph,1
47,BurpFarter3000,CoSh,2
48,BurpFarter3000,MMountain_,1
49,Status_Flux,utstudent4trump,1
50,Status_Flux,sarcasm_is_love,1
51,sarcasm_is_love,Status_Flux,1
52,kublahkoala,rmhildebrandt,1
53,mooserider2,rmhildebrandt,1
54,tiddlypeeps,mooserider2,1
55,fenderkruse,rmhildebrandt,2
56,abutthole,rmhildebrandt,4
57,abutthole,smokumjoe,1
58,abutthole,PennyLisa,1
59,PauLtus,abutthole,1
60,verfmeer,PauLtus,1
61,Ansuz07,rmhildebrandt,2
62,Ansuz07,abutthole,1
63,Ansuz07,Sine_Habitus,3
64,Ansuz07,Miguelinileugim,3
65,Ansuz07,natha105,7
66,Ansuz07,sdmitch16,5
67,Ansuz07,Cyanized7,2
68,CoyotePatronus,rmhildebrandt,1
69,CoyotePatronus,OFGhost,6
70,CoyotePatronus,Cooper720,2
71,Cooper720,CoyotePatronus,2
72,keanwood,CoyotePatronus,1
73,spaghettiWV,keanwood,1
74,elp103,Ansuz07,1
75,elp103,IJerkOffToSlutwalks,1
76,IJerkOffToSlutwalks,elp103,2
77,IJerkOffToSlutwalks,Miguelinileugim,1
78,DevoutSubculture,Ansuz07,1
79,Miguelinileugim,Ansuz07,4
80,natha105,Ansuz07,7
81,sdmitch16,Ansuz07,5
82,Cyanized7,Ansuz07,2
83,Lucas2616,Ansuz07,1
84,Lucas2616,championofobscurity,1
85,smokumjoe,abutthole,1
86,PennyLisa,abutthole,2
87,Mdcastle,abutthole,1
88,championofobscurity,rmhildebrandt,1
89,championofobscurity,rationalguy2,1
90,championofobscurity,MMountain_,2
91,rationalguy2,championofobscurity,1
92,BigWil,Lucas2616,1
93,vagunowner94,rmhildebrandt,1
94,vagunowner94,OFGhost,1
95,Good_FIbrations,rmhildebrandt,1
96,imjustsittingherewat,vagunowner94,1
97,hellomynameis_satan,imjustsittingherewat,1
98,kd131313,OFGhost,1
99,DashingLeech,rmhildebrandt,1
100,HuntforMusic,DashingLeech,1
101,HuntforMusic,Celtabria,2
102,Celtabria,rmhildebrandt,1
103,Celtabria,HuntforMusic,1
