,Source,Target,Weight
0,Traccoon,Flumberbug,1
1,Flumberbug,Traccoon,1
2,Flumberbug,Geralt_of_Rivia1,1
3,Flumberbug,DoodleVnTaintschtain,2
4,Flumberbug,blatantspeculation,1
5,Flumberbug,TanithArmoured,2
6,Flumberbug,lowry4president,2
7,Flumberbug,Blindweaponsfumbler,4
8,Flumberbug,Mohamedhijazi22,5
9,Flumberbug,snugghash,1
10,Flumberbug,Eulerslist,1
11,Flumberbug,hacksoncode,2
12,Flumberbug,kingbane2,2
13,Flumberbug,blueelffishy,2
14,Flumberbug,IlluminatusUIUC,6
15,Flumberbug,tikforest00,2
16,Flumberbug,lemuremf,1
17,Flumberbug,MTorkelson,1
18,Flumberbug,IslayThePeaty,3
19,Flumberbug,random5924,1
20,Geralt_of_Rivia1,Flumberbug,2
21,DoodleVnTaintschtain,Flumberbug,2
22,hacksoncode,Flumberbug,5
23,blatantspeculation,Geralt_of_Rivia1,1
24,blatantspeculation,Flumberbug,1
25,TanithArmoured,Flumberbug,2
26,lowry4president,Flumberbug,2
27,Blindweaponsfumbler,Flumberbug,4
28,Blindweaponsfumbler,kingbane2,3
29,Mohamedhijazi22,Flumberbug,5
30,snugghash,Flumberbug,1
31,Eulerslist,Flumberbug,2
32,kingbane2,Flumberbug,2
33,kingbane2,Blindweaponsfumbler,2
34,blueelffishy,Flumberbug,3
35,IlluminatusUIUC,Flumberbug,6
36,IlluminatusUIUC,tikforest00,2
37,tikforest00,IlluminatusUIUC,2
38,tikforest00,Flumberbug,2
39,lemuremf,Flumberbug,1
40,MTorkelson,Flumberbug,2
41,IslayThePeaty,Flumberbug,4
42,random5924,Flumberbug,1
