,Source,Target,Weight
0,Terex80,OnMyWhey113,1
1,Terex80,MerrieLee,3
2,Terex80,OpQuality,2
3,MerrieLee,Terex80,3
4,OpQuality,Terex80,3
5,OpQuality,kcbh711,1
6,OpQuality,thoselusciouslips,1
7,OpQuality,polysyndetonic,3
8,OpQuality,The_Josh_Of_Clubs,1
9,OpQuality,barefootnpublic,1
10,matt2000224,OnMyWhey113,1
11,exotics,matt2000224,1
12,Ansuz07,exotics,1
13,Ansuz07,OnMyWhey113,4
14,Ansuz07,Potat_Potat,1
15,Ansuz07,aggsalad,1
16,Ansuz07,jm0112358,3
17,Ansuz07,jm0112358_work,2
18,Ansuz07,getlough,1
19,Metallic52,OnMyWhey113,1
20,barebooh,Metallic52,1
21,the_irvingtonian,OnMyWhey113,5
22,the_irvingtonian,hamletandskull,10
23,OnMyWhey113,the_irvingtonian,3
24,OnMyWhey113,neofederalist,2
25,OnMyWhey113,kcbh711,2
26,OnMyWhey113,ClearlyBanned22,1
27,OnMyWhey113,The_Josh_Of_Clubs,1
28,OnMyWhey113,polysyndetonic,2
29,OnMyWhey113,paul_aka_paul,1
30,OnMyWhey113,hiptobecubic,2
31,OnMyWhey113,hab33b,2
32,OnMyWhey113,Ansuz07,2
33,OnMyWhey113,Holophonist,3
34,OnMyWhey113,Nkklllll,1
35,OnMyWhey113,TheSausageGuy,4
36,hamletandskull,the_irvingtonian,10
37,hamletandskull,tomgabriele,6
38,tomgabriele,hamletandskull,6
39,neofederalist,OnMyWhey113,3
40,neofederalist,Potat_Potat,1
41,Potat_Potat,neofederalist,1
42,Potat_Potat,Ansuz07,1
43,Potat_Potat,The_Josh_Of_Clubs,6
44,Potat_Potat,ellipses1,2
45,kcbh711,OnMyWhey113,3
46,kcbh711,Gammapod,1
47,ClearlyBanned22,OnMyWhey113,1
48,thoselusciouslips,OpQuality,1
49,Gammapod,kcbh711,1
50,The_Josh_Of_Clubs,OnMyWhey113,2
51,The_Josh_Of_Clubs,aggsalad,2
52,The_Josh_Of_Clubs,jm0112358,1
53,The_Josh_Of_Clubs,jm0112358_work,2
54,The_Josh_Of_Clubs,dangerxmouse,1
55,The_Josh_Of_Clubs,Potat_Potat,5
56,aggsalad,The_Josh_Of_Clubs,3
57,NapoleonicWars,aggsalad,1
58,jm0112358,Ansuz07,3
59,jm0112358,The_Josh_Of_Clubs,1
60,jm0112358,Holophonist,12
61,jm0112358_work,Ansuz07,3
62,jm0112358_work,The_Josh_Of_Clubs,2
63,getlough,Ansuz07,1
64,dangerxmouse,The_Josh_Of_Clubs,1
65,polysyndetonic,OnMyWhey113,3
66,polysyndetonic,DayMorrow,1
67,polysyndetonic,OpQuality,2
68,DayMorrow,polysyndetonic,1
69,SmellGestapo,polysyndetonic,1
70,SmellGestapo,Holophonist,9
71,paul_aka_paul,OnMyWhey113,2
72,paul_aka_paul,hiptobecubic,4
73,hiptobecubic,paul_aka_paul,4
74,hiptobecubic,OnMyWhey113,3
75,hiptobecubic,Holophonist,3
76,JlmmyButler,hiptobecubic,1
77,ellipses1,Potat_Potat,3
78,hab33b,OnMyWhey113,3
79,hab33b,CoyotePatronus,2
80,CoyotePatronus,hab33b,3
81,CoyotePatronus,DBDude,1
82,barefootnpublic,OnMyWhey113,1
83,barefootnpublic,OpQuality,1
84,barefootnpublic,im--listening,1
85,im--listening,barefootnpublic,1
86,jark831,OnMyWhey113,1
87,jark831,kingpatzer,1
88,kingpatzer,jark831,2
89,kingpatzer,Holophonist,3
90,kingpatzer,davidthetechgeek,1
91,kingpatzer,BobbyBobRoberts,2
92,Holophonist,OnMyWhey113,3
93,Holophonist,hiptobecubic,2
94,Holophonist,kingpatzer,3
95,Holophonist,ralph-j,10
96,Holophonist,jm0112358,11
97,Holophonist,SmellGestapo,8
98,Holophonist,elliptibang,4
99,Holophonist,Loyalt,3
100,Nkklllll,OnMyWhey113,2
101,Nkklllll,sonsofaureus,1
102,ralph-j,Holophonist,10
103,elliptibang,Holophonist,5
104,Loyalt,elliptibang,1
105,Loyalt,Holophonist,2
106,mansefson,Loyalt,1
107,Thomystic,OnMyWhey113,1
108,Thomystic,raanne,5
109,raanne,Thomystic,5
110,davidthetechgeek,OnMyWhey113,1
111,DBDude,OnMyWhey113,1
112,sonsofaureus,OnMyWhey113,1
113,sonsofaureus,Nkklllll,1
114,sonsofaureus,CommanderSheffield,1
115,BobbyBobRoberts,OnMyWhey113,1
116,BobbyBobRoberts,kingpatzer,1
117,CommanderSheffield,OnMyWhey113,1
118,CommanderSheffield,sonsofaureus,1
119,TheSausageGuy,OnMyWhey113,4
