,Source,Target,Weight
0,cupcakesarethedevil,l2ddit,2
1,l2ddit,cupcakesarethedevil,2
2,l2ddit,goatforpope,5
3,l2ddit,Gilleah,2
4,l2ddit,Pleberal,1
5,l2ddit,ThomasEdmund84,4
6,l2ddit,Literally_Herodotus,8
7,l2ddit,Lurking_Chronicler,4
8,l2ddit,PandaDerZwote,1
9,l2ddit,Zeknichov,1
10,goatforpope,l2ddit,6
11,Gilleah,l2ddit,2
12,Gilleah,MenShouldntHaveCats,1
13,MenShouldntHaveCats,Gilleah,1
14,Pleberal,l2ddit,2
15,ThomasEdmund84,l2ddit,5
16,Literally_Herodotus,l2ddit,8
17,Lurking_Chronicler,l2ddit,5
18,PandaDerZwote,l2ddit,1
19,DeltaBot,l2ddit,2
20,Zeknichov,l2ddit,1
