,Source,Target,Weight
0,incruente,ILikeNiceDiscussions,8
1,incruente,ElfmanLV,6
2,incruente,jark831,1
3,incruente,fiiiiiine,1
4,ILikeNiceDiscussions,incruente,7
5,ILikeNiceDiscussions,uncledrewkrew,2
6,ILikeNiceDiscussions,Ieatbabies154,2
7,ILikeNiceDiscussions,muyamable,1
8,ILikeNiceDiscussions,birdbirdbirdbird,4
9,ILikeNiceDiscussions,elmley,1
10,ILikeNiceDiscussions,AnotherMasterMind,1
11,ILikeNiceDiscussions,thirteenthfox2,1
12,ILikeNiceDiscussions,MuaddibMcFly,2
13,ILikeNiceDiscussions,MenShouldntHaveCats,1
14,ILikeNiceDiscussions,mr_indigo,1
15,ILikeNiceDiscussions,samsonkeane,1
16,ILikeNiceDiscussions,weepycreepy,2
17,ILikeNiceDiscussions,PhilliesJawn,2
18,ILikeNiceDiscussions,AssBlaster_69,1
19,ILikeNiceDiscussions,oksooo,2
20,ILikeNiceDiscussions,techgirlthrowaway9,2
21,ILikeNiceDiscussions,p0ison1vy,1
22,ILikeNiceDiscussions,DrMux,1
23,ElfmanLV,incruente,5
24,ElfmanLV,muyamable,1
25,jark831,incruente,1
26,fiiiiiine,incruente,1
27,visarga,ILikeNiceDiscussions,1
28,visarga,mr_indigo,1
29,aFunnyWorldWeLiveIn,visarga,1
30,aFunnyWorldWeLiveIn,MenShouldntHaveCats,2
31,uncledrewkrew,ILikeNiceDiscussions,2
32,asdf2602,ILikeNiceDiscussions,1
33,asdf2602,Sornos,2
34,Ieatbabies154,ILikeNiceDiscussions,2
35,m4gE321,ILikeNiceDiscussions,1
36,muyamable,ILikeNiceDiscussions,1
37,birdbirdbirdbird,ILikeNiceDiscussions,5
38,elmley,birdbirdbirdbird,1
39,elmley,GoyBeorge,3
40,AnotherMasterMind,ILikeNiceDiscussions,2
41,thirteenthfox2,ILikeNiceDiscussions,2
42,MuaddibMcFly,ILikeNiceDiscussions,2
43,GoyBeorge,ILikeNiceDiscussions,1
44,GoyBeorge,elmley,2
45,shrimpjive,GoyBeorge,1
46,mr_indigo,ILikeNiceDiscussions,1
47,mr_indigo,10z20Luka,1
48,MenShouldntHaveCats,mr_indigo,1
49,MenShouldntHaveCats,ILikeNiceDiscussions,1
50,MenShouldntHaveCats,Artificial_Cinnamon,1
51,MenShouldntHaveCats,aFunnyWorldWeLiveIn,2
52,Artificial_Cinnamon,MenShouldntHaveCats,2
53,Artificial_Cinnamon,weepycreepy,2
54,One_Way_Trip,ILikeNiceDiscussions,1
55,MobiusCube,One_Way_Trip,1
56,aarr44,mr_indigo,1
57,Zcuron,aarr44,1
58,Zcuron,asdf2602,1
59,samsonkeane,mr_indigo,1
60,weepycreepy,ILikeNiceDiscussions,3
61,weepycreepy,noodledense,3
62,weepycreepy,Artificial_Cinnamon,1
63,noodledense,ILikeNiceDiscussions,1
64,noodledense,weepycreepy,2
65,isleepbad,weepycreepy,1
66,orbat,Artificial_Cinnamon,1
67,Sornos,ILikeNiceDiscussions,1
68,Sornos,asdf2602,1
69,PhilliesJawn,mr_indigo,1
70,PhilliesJawn,ILikeNiceDiscussions,1
71,PhilliesJawn,lookafist,1
72,PhilliesJawn,Lindsiria,1
73,PhilliesJawn,Zhentar,1
74,lookafist,PhilliesJawn,1
75,MustLuvPolarBearDogs,lookafist,1
76,drkztan,MustLuvPolarBearDogs,1
77,RedBlackSeed,lookafist,1
78,StaySkepticYT,RedBlackSeed,1
79,StaySkepticYT,Lindsiria,2
80,Lindsiria,PhilliesJawn,1
81,Lindsiria,StaySkepticYT,2
82,Zhentar,PhilliesJawn,1
83,blank_dota2,mr_indigo,1
84,TrueLazuli,blank_dota2,1
85,TrueLazuli,Nephilim8,1
86,Nephilim8,TrueLazuli,1
87,10z20Luka,mr_indigo,2
88,SmileyFace-_-,mr_indigo,1
89,CoopertheBKE,SmileyFace-_-,1
90,mudra311,visarga,1
91,mudra311,KatMcTwitchington,1
92,KatMcTwitchington,mr_indigo,1
93,KatMcTwitchington,mudra311,1
94,AssBlaster_69,ILikeNiceDiscussions,1
95,DeltaBot,ILikeNiceDiscussions,1
96,oksooo,ILikeNiceDiscussions,2
97,techgirlthrowaway9,ILikeNiceDiscussions,2
98,techgirlthrowaway9,kranebrain,1
99,kranebrain,techgirlthrowaway9,1
100,spooningkangaroos,techgirlthrowaway9,1
101,xbnm,AssBlaster_69,1
102,BaggaTroubleGG,xbnm,1
103,spongythingz,ILikeNiceDiscussions,1
104,Reala27,ILikeNiceDiscussions,1
105,Reala27,zesty_mordant,1
106,zesty_mordant,Reala27,1
107,p0ison1vy,ILikeNiceDiscussions,2
108,DrMux,ILikeNiceDiscussions,2
