,Source,Target,Weight
0,UNRThrowAway,KanoDoMario,6
1,KanoDoMario,UNRThrowAway,6
2,KanoDoMario,Klarkson1273,1
3,KanoDoMario,Qwerty_Resident,2
4,KanoDoMario,Gourok,3
5,KanoDoMario,tit_wrangler,2
6,KanoDoMario,bohknows,2
7,KanoDoMario,figsbar,5
8,KanoDoMario,alnicoblue,1
9,KanoDoMario,OFGhost,3
10,KanoDoMario,nekozoshi,2
11,KanoDoMario,Burflax,1
12,KanoDoMario,LilSebs_MrsF,4
13,KanoDoMario,kublahkoala,3
14,KanoDoMario,worldeditor,1
15,KanoDoMario,ThatSpencerGuy,1
16,KanoDoMario,Weisse_Rose,2
17,KanoDoMario,Salanmander,1
18,KanoDoMario,EmpRupus,1
19,KanoDoMario,Love_Shaq_Baby,2
20,KanoDoMario,foraskaliberal224,1
21,KanoDoMario,I_am_the_night,1
22,Klarkson1273,KanoDoMario,2
23,Qwerty_Resident,KanoDoMario,3
24,Gourok,KanoDoMario,3
25,tit_wrangler,KanoDoMario,3
26,bohknows,KanoDoMario,2
27,figsbar,KanoDoMario,6
28,alnicoblue,KanoDoMario,2
29,OFGhost,KanoDoMario,4
30,nekozoshi,KanoDoMario,3
31,Burflax,KanoDoMario,2
32,LilSebs_MrsF,KanoDoMario,7
33,kublahkoala,KanoDoMario,4
34,I_am_the_night,KanoDoMario,3
35,worldeditor,KanoDoMario,1
36,douglandry,KanoDoMario,1
37,ThatSpencerGuy,KanoDoMario,2
38,Weisse_Rose,KanoDoMario,2
39,Salanmander,KanoDoMario,1
40,EmpRupus,KanoDoMario,1
41,Love_Shaq_Baby,KanoDoMario,3
42,foraskaliberal224,KanoDoMario,1
