,Source,Target,Weight
0,ZeusThunder369,CoyotePatronus,1
1,ZeusThunder369,groman28,1
2,ZeusThunder369,One_Winged_Rook,2
3,ZeusThunder369,Salanmander,5
4,ZeusThunder369,nestorrobespierre,1
5,ZeusThunder369,benjotron,11
6,CoyotePatronus,ZeusThunder369,1
7,electronics12345,TBFProgrammer,1
8,electronics12345,SocialJusticeWizard_,3
9,electronics12345,The_Real_Mongoose,3
10,TBFProgrammer,electronics12345,1
11,SocialJusticeWizard_,electronics12345,4
12,SocialJusticeWizard_,ZeusThunder369,1
13,The_Real_Mongoose,electronics12345,4
14,groman28,ZeusThunder369,1
15,One_Winged_Rook,ZeusThunder369,3
16,Klarkson1273,One_Winged_Rook,1
17,Salanmander,ZeusThunder369,6
18,nestorrobespierre,ZeusThunder369,2
19,benjotron,ZeusThunder369,12
20,VertigoOne,ZeusThunder369,1
21,VertigoOne,Samsmithbangbang,1
22,Samsmithbangbang,VertigoOne,1
