,Source,Target,Weight
0,Terex80,LilYonsan,2
1,LilYonsan,Terex80,2
2,LilYonsan,on_my_lunch_break,2
3,LilYonsan,swearrengen,1
4,LilYonsan,Anki_gamer,2
5,stegateratops,LilYonsan,1
6,stegateratops,Inelukie,1
7,on_my_lunch_break,LilYonsan,3
8,epicazeroth,LilYonsan,1
9,epicazeroth,ShreddingRoses,1
10,epicazeroth,thesmokingpants,1
11,FroVice,Terex80,1
12,orpheus090,FroVice,1
13,Inelukie,orpheus090,1
14,swearrengen,LilYonsan,1
15,forerunner398,LilYonsan,1
16,forerunner398,kintops,1
17,kintops,forerunner398,1
18,Anki_gamer,LilYonsan,3
19,Anki_gamer,NotCleverEnufToRedit,1
20,Anki_gamer,DashingLeech,1
21,Anki_gamer,RYouNotEntertained,2
22,DeltaBot,LilYonsan,1
23,Positron311,Anki_gamer,1
24,ThisIceAintNice,Positron311,1
25,NotCleverEnufToRedit,LilYonsan,1
26,DashingLeech,Anki_gamer,1
27,RYouNotEntertained,Anki_gamer,3
28,ShreddingRoses,LilYonsan,1
29,ShreddingRoses,epicazeroth,1
30,ShreddingRoses,SupriseGinger,1
31,ShreddingRoses,politicalanalysis,1
32,thesmokingpants,epicazeroth,2
33,SupriseGinger,ShreddingRoses,1
34,SupriseGinger,TheConstipatedPepsi,1
35,TheConstipatedPepsi,SupriseGinger,2
36,politicalanalysis,ShreddingRoses,1
37,wineandcheese,politicalanalysis,1
38,k9centipede,wineandcheese,1
39,punromantic,LilYonsan,1
40,punromantic,qvolt,1
41,rialismus,punromantic,1
42,qvolt,punromantic,1
43,allupinthisjoint,LilYonsan,1
44,gwarsh41,allupinthisjoint,1
