,Source,Target,Weight
0,RightForever,americanenglishh,2
1,RightForever,GlyphGryph,1
2,RightForever,qwertx0815,1
3,RightForever,PrimeLegionnaire,2
4,RightForever,mattholomew,8
5,RightForever,deathnate4,1
6,RightForever,M3rcaptan,7
7,RightForever,Loyalt,5
8,americanenglishh,RightForever,1
9,americanenglishh,MasterGrok,1
10,GlyphGryph,RightForever,1
11,GlyphGryph,americanenglishh,1
12,GlyphGryph,PrimeLegionnaire,1
13,GlyphGryph,rtechie1,1
14,qwertx0815,RightForever,2
15,qwertx0815,KreKreMan,2
16,PrimeLegionnaire,RightForever,3
17,PrimeLegionnaire,GlyphGryph,1
18,PrimeLegionnaire,poltroon_pomegranate,2
19,PrimeLegionnaire,garnteller,1
20,PrimeLegionnaire,qwertx0815,1
21,PrimeLegionnaire,Milskidasith,3
22,PrimeLegionnaire,PreacherJudge,1
23,PrimeLegionnaire,Loyalt,2
24,PrimeLegionnaire,ThomasEdmund84,1
25,PrimeLegionnaire,goldistastey,1
26,PrimeLegionnaire,maverikv,1
27,mattholomew,RightForever,10
28,deathnate4,RightForever,2
29,deathnate4,vialtrisuit,8
30,deathnate4,nate23401,1
31,deathnate4,rtechie1,1
32,deathnate4,sarahmgray,1
33,deathnate4,No311,1
34,deathnate4,cheshirecatsmiley,1
35,rtechie1,GlyphGryph,2
36,rtechie1,AurelianoTampa,1
37,rtechie1,sharkbanger,1
38,rtechie1,Milskidasith,1
39,cheshirecatsmiley,americanenglishh,2
40,cheshirecatsmiley,vialtrisuit,4
41,cheshirecatsmiley,No311,1
42,vialtrisuit,cheshirecatsmiley,4
43,vialtrisuit,Broolucks,1
44,vialtrisuit,soitcause,2
45,vialtrisuit,z3r0shade,2
46,vialtrisuit,DeusExMockinYa,1
47,vialtrisuit,deathnate4,8
48,vialtrisuit,Michaelis_Maus,2
49,vialtrisuit,Doppleganger07,2
50,vialtrisuit,thadeusaquadicus,1
51,vialtrisuit,Milskidasith,1
52,M3rcaptan,RightForever,7
53,M3rcaptan,sarahmgray,3
54,Loyalt,RightForever,5
55,Loyalt,M3rcaptan,1
56,Loyalt,Miyamori_Senpai,1
57,Loyalt,PrimeLegionnaire,2
58,sarahmgray,M3rcaptan,3
59,sarahmgray,sophistry13,1
60,sarahmgray,jm0112358,1
61,sarahmgray,vialtrisuit,1
62,sarahmgray,PrimeLegionnaire,1
63,sarahmgray,Sadsharks,1
64,poltroon_pomegranate,americanenglishh,1
65,poltroon_pomegranate,PrimeLegionnaire,2
66,poltroon_pomegranate,No311,1
67,poltroon_pomegranate,EttenCO,6
68,No311,poltroon_pomegranate,2
69,No311,AurelianoTampa,3
70,No311,Sadsharks,1
71,No311,deathnate4,1
72,No311,vacuousaptitude,2
73,No311,IlluminatusUIUC,1
74,No311,johnlongpingpong,1
75,No311,soitcause,2
76,No311,Chizomsk,2
77,No311,cheshirecatsmiley,2
78,No311,InsOmNomNomnia,2
79,sophistry13,poltroon_pomegranate,1
80,EttenCO,poltroon_pomegranate,7
81,MasterGrok,americanenglishh,2
82,jm0112358,MasterGrok,1
83,jm0112358,PrimeLegionnaire,1
84,Milskidasith,americanenglishh,2
85,Milskidasith,Miyamori_Senpai,1
86,Milskidasith,Myphoneaccount9,1
87,Milskidasith,PrimeLegionnaire,2
88,Miyamori_Senpai,Milskidasith,2
89,Doppleganger07,vialtrisuit,2
90,Doppleganger07,Identitypolitik,1
91,Oediphus,Miyamori_Senpai,1
92,Oediphus,boiled_elephant,1
93,Oediphus,nashvortex,3
94,boiled_elephant,Oediphus,1
95,nashvortex,Milskidasith,1
96,nashvortex,Oediphus,3
97,alfredo094,Milskidasith,1
98,alfredo094,Valnar,2
99,Valnar,alfredo094,2
100,Broolucks,americanenglishh,1
101,soitcause,vialtrisuit,2
102,soitcause,No311,2
103,z3r0shade,vialtrisuit,2
104,z3r0shade,sarahmgray,1
105,z3r0shade,PrimeLegionnaire,1
106,z3r0shade,Identitypolitik,1
107,DeusExMockinYa,vialtrisuit,2
108,Michaelis_Maus,vialtrisuit,3
109,thadeusaquadicus,vialtrisuit,1
110,nate23401,MasterGrok,1
111,AurelianoTampa,americanenglishh,1
112,AurelianoTampa,No311,2
113,sharkbanger,rtechie1,1
114,Identitypolitik,AurelianoTampa,1
115,Identitypolitik,z3r0shade,2
116,Identitypolitik,Doppleganger07,1
117,sxae,Identitypolitik,1
118,garnteller,americanenglishh,1
119,Swiss_Army_Cheese,z3r0shade,1
120,Mattmon666,americanenglishh,1
121,KreKreMan,Mattmon666,1
122,KreKreMan,qwertx0815,1
123,Myphoneaccount9,Milskidasith,1
124,PreacherJudge,americanenglishh,1
125,ThomasEdmund84,americanenglishh,1
126,ThomasEdmund84,PrimeLegionnaire,1
127,goldistastey,americanenglishh,1
128,mattumbo,PrimeLegionnaire,1
129,maverikv,americanenglishh,1
130,maverikv,PrimeLegionnaire,1
131,JimmyDeSanta420,maverikv,1
132,JimmyDeSanta420,jtown8673877158,1
133,Sadsharks,americanenglishh,1
134,Sadsharks,No311,1
135,vacuousaptitude,americanenglishh,1
136,vacuousaptitude,No311,1
137,IlluminatusUIUC,No311,1
138,johnlongpingpong,americanenglishh,1
139,DeltaBot,No311,2
140,Chizomsk,No311,2
141,InsOmNomNomnia,americanenglishh,1
142,InsOmNomNomnia,No311,1
143,jtown8673877158,americanenglishh,1
