,Source,Target,Weight
0,_Hopped_,techiemikey,3
1,_Hopped_,Brimjobtime,3
2,_Hopped_,-6-6-,10
3,techiemikey,_Hopped_,4
4,Brimjobtime,_Hopped_,3
5,Brimjobtime,Derpese_Simplex,1
6,Brimjobtime,ProfessorHeartcraft,1
7,-6-6-,_Hopped_,11
8,-6-6-,Derpese_Simplex,4
9,-6-6-,Nessunolosa,14
10,-6-6-,Wierd_Carissa,6
11,-6-6-,bgbba1,8
12,-6-6-,tweetypi,1
13,-6-6-,Waphlez,7
14,-6-6-,buffalo_slim,8
15,-6-6-,MagentaHawk,1
16,-6-6-,jweezy2045,4
17,-6-6-,Deutschbag_,3
18,-6-6-,Austin_RC246,11
19,-6-6-,Rockmar1,6
20,-6-6-,jcooli09,4
21,-6-6-,glitter-glam,1
22,-6-6-,hykue37,2
23,-6-6-,Gumpler,2
24,-6-6-,smithrereen,1
25,-6-6-,Zurlly,7
26,-6-6-,swearrengen,1
27,Derpese_Simplex,-6-6-,4
28,Derpese_Simplex,Brimjobtime,1
29,Derpese_Simplex,neofederalist,1
30,ProfessorHeartcraft,Brimjobtime,2
31,ProfessorHeartcraft,-6-6-,1
32,Wierd_Carissa,-6-6-,7
33,Wierd_Carissa,shark_to_water,4
34,Wierd_Carissa,lnfinity,1
35,Wierd_Carissa,Genoskill,1
36,shark_to_water,Wierd_Carissa,5
37,shark_to_water,slash178,1
38,shark_to_water,cutty2k,3
39,bgbba1,-6-6-,8
40,bgbba1,Nessunolosa,3
41,bgbba1,zolartan,1
42,tweetypi,-6-6-,1
43,lnfinity,Wierd_Carissa,1
44,lnfinity,Austin_RC246,3
45,lnfinity,Derpese_Simplex,1
46,Genoskill,Wierd_Carissa,1
47,Nessunolosa,-6-6-,10
48,Nessunolosa,yunyun333,1
49,Nessunolosa,neofederalist,2
50,Nessunolosa,jcooli09,3
51,Nessunolosa,glitter-glam,1
52,Nessunolosa,zolartan,2
53,Nessunolosa,bgbba1,2
54,Nessunolosa,swearrengen,1
55,Waphlez,-6-6-,8
56,buffalo_slim,-6-6-,9
57,MagentaHawk,-6-6-,1
58,jweezy2045,-6-6-,6
59,jweezy2045,supergodsuperfuck,4
60,jweezy2045,hubeyy,2
61,jweezy2045,YahwehTheDevil,6
62,jweezy2045,zolartan,3
63,Deutschbag_,-6-6-,3
64,Deutschbag_,not_homestuck,1
65,supergodsuperfuck,jweezy2045,5
66,hubeyy,jweezy2045,3
67,yunyun333,Nessunolosa,1
68,slash178,yunyun333,1
69,cutty2k,shark_to_water,3
70,zolartan,cutty2k,1
71,zolartan,jweezy2045,4
72,zolartan,ProfessorHeartcraft,1
73,zolartan,bgbba1,2
74,zolartan,Nessunolosa,2
75,Austin_RC246,-6-6-,9
76,Austin_RC246,lnfinity,3
77,Austin_RC246,LongenWhatNot,3
78,LongenWhatNot,Austin_RC246,3
79,Rockmar1,-6-6-,6
80,neofederalist,Nessunolosa,2
81,jcooli09,Nessunolosa,2
82,jcooli09,-6-6-,4
83,glitter-glam,Nessunolosa,1
84,hykue37,-6-6-,2
85,YahwehTheDevil,jweezy2045,5
86,Gumpler,-6-6-,2
87,smithrereen,-6-6-,1
88,Zurlly,-6-6-,7
89,Zurlly,Snokus,1
90,swearrengen,Nessunolosa,1
91,Snokus,swearrengen,1
92,not_homestuck,Nessunolosa,1
93,not_homestuck,Deutschbag_,1
