,Source,Target,Weight
0,Stokkolm,wastagaswe,1
1,wastagaswe,Stokkolm,1
2,wastagaswe,MrMercurial,1
3,wastagaswe,Super_Duper_Mann,1
4,wastagaswe,as-well,1
5,wastagaswe,abhd,1
6,wastagaswe,muyamable,2
7,wastagaswe,kjmichaels,1
8,wastagaswe,lammchops15,1
9,wastagaswe,BenIncognito,6
10,wastagaswe,Genoscythe_,5
11,wastagaswe,ThatSpencerGuy,2
12,wastagaswe,TheActualIsh,1
13,wastagaswe,pillbinge,1
14,wastagaswe,RarelyNecessary,1
15,MrMercurial,wastagaswe,1
16,kilgpmktra,MrMercurial,1
17,sylocheed,kilgpmktra,1
18,Super_Duper_Mann,wastagaswe,2
19,____Matt____,Super_Duper_Mann,1
20,OhMy8008,____Matt____,1
21,Genoscythe_,____Matt____,1
22,Genoscythe_,ImagineQ,2
23,Genoscythe_,wastagaswe,5
24,ImagineQ,Genoscythe_,3
25,smartest_kobold,wastagaswe,1
26,smartest_kobold,Alphabetagencies,2
27,Alphabetagencies,smartest_kobold,2
28,as-well,wastagaswe,2
29,as-well,FrostbiteOrange,3
30,FrostbiteOrange,as-well,3
31,FrostbiteOrange,muyamable,5
32,muyamable,wastagaswe,3
33,muyamable,FrostbiteOrange,4
34,muyamable,Highlord_Jangles,1
35,Toffeemanstan,muyamable,1
36,abhd,Toffeemanstan,1
37,Highlord_Jangles,muyamable,1
38,Highlord_Jangles,Jasontheperson,1
39,Jasontheperson,Highlord_Jangles,1
40,Jasontheperson,cookietrixxx,1
41,kjmichaels,wastagaswe,1
42,lammchops15,wastagaswe,2
43,BenIncognito,wastagaswe,7
44,BenIncognito,serphz,6
45,TJHug,BenIncognito,1
46,TJHug,James_McNulty,4
47,James_McNulty,wastagaswe,1
48,James_McNulty,TJHug,4
49,serphz,BenIncognito,6
50,cookietrixxx,BenIncognito,1
51,cookietrixxx,Jasontheperson,1
52,joalr0,wastagaswe,1
53,joalr0,thebedshow,1
54,thebedshow,joalr0,1
55,ThatSpencerGuy,wastagaswe,2
56,VertigoOne,wastagaswe,1
57,VertigoOne,moe_overdose,5
58,TheActualIsh,VertigoOne,1
59,moe_overdose,VertigoOne,6
60,pillbinge,wastagaswe,1
61,RarelyNecessary,wastagaswe,2
