,Source,Target,Weight
0,cupcakesarethedevil,jesus_mary_joe,4
1,jesus_mary_joe,cupcakesarethedevil,4
2,jesus_mary_joe,PreacherJudge,1
3,jesus_mary_joe,darwin2500,1
4,stink3rbelle,jesus_mary_joe,1
5,stink3rbelle,moonflower,1
6,stink3rbelle,moduspol,1
7,hameleona,stink3rbelle,1
8,moonflower,stink3rbelle,2
9,moonflower,PreacherJudge,9
10,moonflower,Literally_Herodotus,6
11,PreacherJudge,moonflower,10
12,PreacherJudge,relevant_password,2
13,PreacherJudge,jesus_mary_joe,1
14,PreacherJudge,moduspol,4
15,Literally_Herodotus,moonflower,6
16,DaraelDraconis,PreacherJudge,1
17,DaraelDraconis,relevant_password,1
18,relevant_password,DaraelDraconis,2
19,relevant_password,PreacherJudge,1
20,moduspol,stink3rbelle,1
21,moduspol,PreacherJudge,3
22,Seeattle_Seehawks,PreacherJudge,1
23,darwin2500,jesus_mary_joe,1
24,darwin2500,Godskook,2
25,DeltaBot,jesus_mary_joe,1
26,Godskook,darwin2500,3
27,Godskook,TheManWhoWasNotShort,4
28,Godskook,RealFactorRagePolice,2
29,TheManWhoWasNotShort,Godskook,5
30,RealFactorRagePolice,Godskook,2
31,ChrisMF112,jesus_mary_joe,1
32,ChrisMF112,gwankovera,1
33,gwankovera,ChrisMF112,1
