,Source,Target,Weight
0,sittinginabaralone,Bpbegha,1
1,sittinginabaralone,Pinewood74,4
2,ArticSun,sittinginabaralone,1
3,ArticSun,-6-6-,30
4,ArticSun,Pinewood74,2
5,-6-6-,ArticSun,30
6,-6-6-,goldsalt132,9
7,-6-6-,kublahkoala,3
8,goldsalt132,-6-6-,9
9,kublahkoala,-6-6-,3
10,kublahkoala,Bpbegha,1
11,Pinewood74,sittinginabaralone,5
12,Pinewood74,ArticSun,1
13,Pinewood74,Liolios23,1
14,NoneApplicable,Bpbegha,1
15,MiguelKoch,NoneApplicable,1
16,MiguelKoch,TwentyFive_Shmeckles,1
17,TwentyFive_Shmeckles,Bpbegha,1
18,Tundur,kublahkoala,1
19,shark_to_water,Bpbegha,1
20,shark_to_water,ThisIceAintNice,1
21,ThisIceAintNice,shark_to_water,1
22,Liolios23,Bpbegha,1
23,Liolios23,ThisIsReLLiK,3
24,Liolios23,Pinewood74,1
25,ThisIsReLLiK,Liolios23,3
26,milk____steak,Bpbegha,1
27,milk____steak,fox-mcleod,2
28,fox-mcleod,milk____steak,3
29,insufferabletoolbag,Bpbegha,1
30,tkatsman,insufferabletoolbag,1
