,Source,Target,Weight
0,DawgDatsAGreatPost,weirds3xstuff,1
1,DawgDatsAGreatPost,mysundayscheming,1
2,DawgDatsAGreatPost,chris2315,5
3,DawgDatsAGreatPost,EighthScofflaw,3
4,DawgDatsAGreatPost,nekozoshi,1
5,mysundayscheming,DawgDatsAGreatPost,1
6,EighthScofflaw,DawgDatsAGreatPost,6
7,chris2315,DawgDatsAGreatPost,7
8,chris2315,GoIdfinch,2
9,chris2315,Jack126Guy,4
10,chris2315,weirds3xstuff,2
11,SaintBio,DawgDatsAGreatPost,1
12,SaintBio,chris2315,1
13,SaintBio,GoIdfinch,1
14,PinkyBlinky,EighthScofflaw,1
15,nekozoshi,DawgDatsAGreatPost,1
16,Huntingmoa,weirds3xstuff,2
17,Huntingmoa,DrunkFishBreatheAir,1
18,weirds3xstuff,Huntingmoa,2
19,weirds3xstuff,hacksoncode,1
20,weirds3xstuff,chris2315,2
21,weirds3xstuff,chasingstatues,3
22,weirds3xstuff,Crell,1
23,weirds3xstuff,DashingLeech,1
24,weirds3xstuff,bbgun09,2
25,DeltaBot,weirds3xstuff,1
26,DrunkFishBreatheAir,Huntingmoa,1
27,hacksoncode,weirds3xstuff,2
28,GoIdfinch,weirds3xstuff,1
29,GoIdfinch,chris2315,1
30,GoIdfinch,SaintBio,1
31,Jack126Guy,chris2315,5
32,chasingstatues,weirds3xstuff,4
33,Crell,weirds3xstuff,2
34,DashingLeech,chris2315,1
35,PennyLisa,weirds3xstuff,1
36,PennyLisa,Jasader,2
37,Jasader,PennyLisa,2
38,bbgun09,weirds3xstuff,2
