,Source,Target,Weight
0,Zeiramsy,meur123,1
1,Zeiramsy,kabukistar,2
2,nauticalmeatball,Zeiramsy,1
3,meur123,Zeiramsy,1
4,meur123,UnaffiliatedOpinion,1
5,meur123,Gnoccistic,1
6,awenonian,meur123,1
7,Anarchy_is_Order,awenonian,1
8,Anarchy_is_Order,scouseking90,1
9,Anarchy_is_Order,ralph-j,2
10,Anarchy_is_Order,z3r0shade,2
11,scouseking90,Anarchy_is_Order,1
12,kabukistar,Zeiramsy,2
13,ralph-j,meur123,1
14,ralph-j,Anarchy_is_Order,2
15,Wrestlingisgood,meur123,1
16,Wrestlingisgood,cacheflow,3
17,cacheflow,Wrestlingisgood,4
18,z3r0shade,Wrestlingisgood,1
19,z3r0shade,Anarchy_is_Order,2
20,z3r0shade,Sheexthro,22
21,z3r0shade,Gnoccistic,5
22,Sheexthro,z3r0shade,24
23,UnaffiliatedOpinion,meur123,2
24,UnaffiliatedOpinion,notduddeman,1
25,notduddeman,UnaffiliatedOpinion,2
26,Gnoccistic,meur123,2
27,Gnoccistic,LaoTzusGymShoes,1
28,Gnoccistic,z3r0shade,3
29,LaoTzusGymShoes,Gnoccistic,1
