,Source,Target,Weight
0,Hq3473,Slagernicus,1
1,Hq3473,ThatBelligerentSloth,8
2,Slagernicus,Hq3473,1
3,Slagernicus,Ansuz07,1
4,Slagernicus,getfuckingreal,4
5,Slagernicus,yaxamie,3
6,Slagernicus,Mintnose,4
7,Slagernicus,clockworkgirl21,1
8,Slagernicus,Amablue,1
9,Slagernicus,Letshavemorefun,2
10,Slagernicus,ThatBelligerentSloth,2
11,Slagernicus,Octobers_second_one,2
12,Slagernicus,Sheexthro,2
13,Slagernicus,jzpenny,2
14,Slagernicus,fadadapple,2
15,Slagernicus,DreadnaughtZero,6
16,ThatBelligerentSloth,Hq3473,9
17,ThatBelligerentSloth,Slagernicus,1
18,ThatBelligerentSloth,yaxamie,1
19,Ansuz07,Slagernicus,1
20,getfuckingreal,Slagernicus,5
21,yaxamie,Slagernicus,3
22,yaxamie,Gladix,1
23,Mintnose,Slagernicus,4
24,clockworkgirl21,Slagernicus,1
25,Amablue,Ansuz07,1
26,Amablue,Slagernicus,1
27,Letshavemorefun,Ansuz07,1
28,Letshavemorefun,Slagernicus,2
29,Letshavemorefun,Sheexthro,5
30,Sheexthro,Letshavemorefun,5
31,Sheexthro,Slagernicus,3
32,Sheexthro,Gladix,3
33,Sheexthro,gorkt,1
34,Octobers_second_one,Slagernicus,2
35,Gladix,Ansuz07,1
36,Gladix,yaxamie,1
37,Gladix,Sheexthro,3
38,EmilyRose607,yaxamie,1
39,Nepene,Slagernicus,1
40,gorkt,Ansuz07,1
41,jzpenny,Slagernicus,2
42,jzpenny,timmytissue,2
43,jzpenny,leyxk,1
44,timmytissue,jzpenny,2
45,leyxk,jzpenny,1
46,fadadapple,Slagernicus,3
47,DreadnaughtZero,Slagernicus,6
