,Source,Target,Weight
0,TheRadBaron,Ramza_Claus,1
1,Ramza_Claus,TheRadBaron,2
2,Ramza_Claus,metamatic,1
3,Ramza_Claus,The_DongLover,4
4,Ramza_Claus,heelspider,1
5,Mantonization,Ramza_Claus,1
6,metamatic,Ramza_Claus,2
7,masterFurgison,TheRadBaron,1
8,masterFurgison,FOR_PRUSSIA,2
9,FOR_PRUSSIA,masterFurgison,3
10,The_DongLover,Ramza_Claus,4
11,UHavingALaffM8,Ramza_Claus,1
12,heelspider,Ramza_Claus,1
13,heelspider,Squiddlydiddly56,24
14,heelspider,One_Winged_Rook,3
15,Squiddlydiddly56,heelspider,24
16,One_Winged_Rook,heelspider,4
17,Crayshack,Ramza_Claus,1
18,Crayshack,Transkar,2
19,Transkar,Crayshack,2
20,bguy74,Ramza_Claus,1
21,bguy74,wolfram184,1
22,wolfram184,bguy74,1
