,Source,Target,Weight
0,hacksoncode,mcgrathc09,2
1,hacksoncode,davidildo,1
2,hacksoncode,madwill,1
3,hacksoncode,mudra311,2
4,mcgrathc09,hacksoncode,2
5,mcgrathc09,Vasquerade,3
6,mcgrathc09,AntimonyPidgey,2
7,mcgrathc09,Salanmander,1
8,mcgrathc09,mikkylock,1
9,mcgrathc09,cupcakesarethedevil,2
10,mcgrathc09,kublahkoala,1
11,mcgrathc09,DCarrier,2
12,mcgrathc09,helloitslouis,5
13,mcgrathc09,PreacherJudge,1
14,mcgrathc09,mcgrathc09,1
15,Vasquerade,mcgrathc09,5
16,Vasquerade,spacejellyandjam,1
17,AntimonyPidgey,mcgrathc09,3
18,AntimonyPidgey,ApproxKnowledgeSite,1
19,AntimonyPidgey,zharth,5
20,AntimonyPidgey,SaveToTheADrive,2
21,AntimonyPidgey,mudra311,1
22,ApproxKnowledgeSite,AntimonyPidgey,1
23,zharth,Vasquerade,1
24,zharth,AntimonyPidgey,3
25,zharth,mcgrathc09,2
26,zharth,iamwaitingtocompile,1
27,OrbitingTpot,mcgrathc09,1
28,OrbitingTpot,Oosl,1
29,Oosl,OrbitingTpot,1
30,lrurid,OrbitingTpot,1
31,SaveToTheADrive,Vasquerade,1
32,SaveToTheADrive,redesckey,4
33,SaveToTheADrive,Higgs_Bosun,1
34,SaveToTheADrive,Awildbadusername,1
35,SaveToTheADrive,Salanmander,1
36,SaveToTheADrive,AntimonyPidgey,1
37,SaveToTheADrive,helloitslouis,3
38,redesckey,SaveToTheADrive,4
39,redesckey,madwill,1
40,redesckey,rottinguy,1
41,redesckey,connstar97,1
42,Salanmander,mcgrathc09,2
43,Salanmander,Jmastersj,1
44,Salanmander,trainwithlino,2
45,Awildbadusername,mcgrathc09,1
46,Awildbadusername,SaveToTheADrive,1
47,Higgs_Bosun,Awildbadusername,1
48,Jmastersj,Salanmander,1
49,trainwithlino,Salanmander,2
50,Venusupreme,zharth,1
51,mikkylock,mcgrathc09,1
52,davidildo,hacksoncode,2
53,madwill,hacksoncode,2
54,mudra311,hacksoncode,2
55,mudra311,helloitslouis,3
56,mudra311,redesckey,1
57,cupcakesarethedevil,mcgrathc09,2
58,kublahkoala,mcgrathc09,1
59,spacejellyandjam,Vasquerade,2
60,___OccamsChainsaw___,spacejellyandjam,1
61,___OccamsChainsaw___,firelock_ny,1
62,firelock_ny,___OccamsChainsaw___,1
63,firelock_ny,redesckey,1
64,firelock_ny,Brovaries80085,1
65,IsupportLGBT_nohomo,spacejellyandjam,1
66,DCarrier,mcgrathc09,3
67,helloitslouis,mcgrathc09,6
68,helloitslouis,mudra311,3
69,helloitslouis,LoveTrumpedHate,4
70,helloitslouis,connstar97,3
71,helloitslouis,SaveToTheADrive,2
72,helloitslouis,carlos_the_dwarf_,1
73,helloitslouis,killcat,2
74,PreacherJudge,mcgrathc09,2
75,LoveTrumpedHate,helloitslouis,4
76,LoveTrumpedHate,whizzo76,1
77,whizzo76,LoveTrumpedHate,2
78,whizzo76,jay1237,1
79,jay1237,whizzo76,1
80,rottinguy,helloitslouis,1
81,Brovaries80085,helloitslouis,1
82,connstar97,helloitslouis,3
83,carlos_the_dwarf_,helloitslouis,2
84,killcat,helloitslouis,3
85,A_Soporific,mcgrathc09,1
86,errhhbrerrh,mcgrathc09,1
87,errhhbrerrh,AnAntichrist,1
88,AnAntichrist,errhhbrerrh,2
89,iamwaitingtocompile,zharth,1
