,Source,Target,Weight
0,Ansuz07,reimagining_life,4
1,reimagining_life,Ansuz07,2
2,reimagining_life,tbdabbholm,2
3,reimagining_life,muyamable,3
4,reimagining_life,ogld,1
5,reimagining_life,MasterGrok,2
6,reimagining_life,FuzzerPupper,2
7,tbdabbholm,reimagining_life,3
8,muyamable,reimagining_life,3
9,muyamable,super-commenting,6
10,ogld,reimagining_life,2
11,super-commenting,muyamable,7
12,MasterGrok,reimagining_life,2
13,MasterGrok,Apokolyptyk,4
14,DeltaBot,reimagining_life,2
15,Apokolyptyk,MasterGrok,5
16,Apokolyptyk,RustyRook,1
17,RustyRook,Apokolyptyk,1
18,TaneCorbin,reimagining_life,1
19,PinkyBlinky,TaneCorbin,1
20,FuzzerPupper,reimagining_life,2
