,Source,Target,Weight
0,worldeditor,Chazzyphant,1
1,Chazzyphant,worldeditor,1
2,Chazzyphant,PreacherJudge,2
3,Chazzyphant,weirds3xstuff,1
4,Chazzyphant,TotlaBullfish,2
5,Chazzyphant,Madplato,3
6,Chazzyphant,huadpe,1
7,Chazzyphant,icecoldbath,2
8,Chazzyphant,VortexMagus,1
9,Chazzyphant,Earl_Harbinger,5
10,Chazzyphant,Vund3rkind,1
11,Chazzyphant,cmv_lawyer,5
12,Chazzyphant,leiphos,1
13,Chazzyphant,GermanEgo,1
14,Chazzyphant,hedic,1
15,Chazzyphant,AloysiusC,1
16,Chazzyphant,Mikodite,1
17,Chazzyphant,Weisse_Rose,1
18,Chazzyphant,SaintBio,4
19,Chazzyphant,ZeusThunder369,3
20,Chazzyphant,makronic,1
21,SDK1176,Chazzyphant,1
22,kingbane2,SDK1176,1
23,PreacherJudge,Chazzyphant,3
24,weirds3xstuff,Chazzyphant,1
25,weirds3xstuff,Madplato,3
26,weirds3xstuff,huadpe,2
27,DeltaBot,Chazzyphant,1
28,TotlaBullfish,Chazzyphant,3
29,TotlaBullfish,ericoahu,2
30,ericoahu,TotlaBullfish,2
31,Madplato,weirds3xstuff,4
32,Madplato,Chazzyphant,3
33,huadpe,weirds3xstuff,3
34,huadpe,Chazzyphant,1
35,wokeupabug,iunoionnis,1
36,icecoldbath,Chazzyphant,2
37,PennyLisa,Chazzyphant,2
38,PennyLisa,Vund3rkind,2
39,PennyLisa,Meesh_ca,1
40,VortexMagus,Chazzyphant,2
41,VortexMagus,Earl_Harbinger,2
42,Earl_Harbinger,VortexMagus,3
43,Earl_Harbinger,icecoldbath,1
44,Earl_Harbinger,EighthScofflaw,1
45,Earl_Harbinger,zardeh,9
46,Earl_Harbinger,Chazzyphant,4
47,Meesh_ca,Earl_Harbinger,1
48,Meesh_ca,shaydizzle123,1
49,Meesh_ca,PennyLisa,1
50,EighthScofflaw,Earl_Harbinger,1
51,zardeh,Earl_Harbinger,10
52,Vund3rkind,Chazzyphant,1
53,Vund3rkind,Mikodite,1
54,Vund3rkind,Weisse_Rose,1
55,Vund3rkind,PennyLisa,1
56,cmv_lawyer,Chazzyphant,5
57,leiphos,Chazzyphant,1
58,GermanEgo,Chazzyphant,1
59,hedic,Chazzyphant,1
60,AloysiusC,Chazzyphant,1
61,ricksteer_p333,Chazzyphant,1
62,Mikodite,Vund3rkind,1
63,Indoril_Nerevar95,Vund3rkind,1
64,Weisse_Rose,Vund3rkind,2
65,Weisse_Rose,Chazzyphant,1
66,SaintBio,Chazzyphant,4
67,KirkwallDay,Chazzyphant,1
68,KirkwallDay,cheertina,2
69,cheertina,KirkwallDay,2
70,ZeusThunder369,Chazzyphant,3
71,shaydizzle123,Chazzyphant,1
72,makronic,Chazzyphant,1
