,Source,Target,Weight
0,Morpheus3121,ItsSnowingOutside,2
1,Morpheus3121,CatRelatedUsername,3
2,ItsSnowingOutside,Morpheus3121,1
3,ItsSnowingOutside,darwin2500,1
4,ItsSnowingOutside,McGrinch27,1
5,Huntingmoa,ItsSnowingOutside,1
6,Geralt_of_Rivia1,Huntingmoa,1
7,Geralt_of_Rivia1,darwin2500,2
8,Geralt_of_Rivia1,Andthentomorrow,1
9,Geralt_of_Rivia1,poltroon_pomegranate,1
10,Geralt_of_Rivia1,McGrinch27,1
11,Geralt_of_Rivia1,kublahkoala,1
12,CatRelatedUsername,Morpheus3121,3
13,CatRelatedUsername,ViewedFromTheOutside,3
14,littlebubulle,ItsSnowingOutside,1
15,littlebubulle,Arvaci,1
16,Arvaci,littlebubulle,1
17,cupcakesarethedevil,ItsSnowingOutside,1
18,McGrinch27,cupcakesarethedevil,1
19,McGrinch27,ItsSnowingOutside,2
20,McGrinch27,Geralt_of_Rivia1,1
21,darwin2500,ItsSnowingOutside,2
22,darwin2500,Geralt_of_Rivia1,1
23,darwin2500,ursuslimbs,1
24,in_cavediver,darwin2500,1
25,cstar1996,Geralt_of_Rivia1,1
26,cstar1996,organicjello,2
27,organicjello,cstar1996,3
28,ursuslimbs,darwin2500,2
29,DBDude,McGrinch27,1
30,Andthentomorrow,ItsSnowingOutside,1
31,Andthentomorrow,Geralt_of_Rivia1,1
32,Andthentomorrow,FSFlyingSnail,5
33,FSFlyingSnail,Andthentomorrow,6
34,FSFlyingSnail,GreasyPorkGoodness,4
35,FSFlyingSnail,VertigoOne,3
36,FSFlyingSnail,83wonder,1
37,FSFlyingSnail,HazelGhost,1
38,poltroon_pomegranate,ItsSnowingOutside,1
39,kublahkoala,Geralt_of_Rivia1,1
40,ViewedFromTheOutside,ItsSnowingOutside,1
41,ViewedFromTheOutside,Saxit,1
42,ViewedFromTheOutside,CatRelatedUsername,3
43,Saxit,ViewedFromTheOutside,1
44,GreasyPorkGoodness,ItsSnowingOutside,1
45,GreasyPorkGoodness,FSFlyingSnail,4
46,VertigoOne,ItsSnowingOutside,1
47,VertigoOne,FSFlyingSnail,2
48,83wonder,ItsSnowingOutside,1
49,HazelGhost,ItsSnowingOutside,1
