,Source,Target,Weight
0,Snipe812,EverlastingInferno,1
1,EverlastingInferno,Snipe812,1
2,EverlastingInferno,StringerBell9,3
3,EverlastingInferno,PuleaSpataru69,1
4,EverlastingInferno,ApeTit4TwoHundred,1
5,EverlastingInferno,Izawwlgood,1
6,EverlastingInferno,hyperforce,3
7,EverlastingInferno,EverlastingInferno,1
8,deathnate4,EverlastingInferno,1
9,opek,deathnate4,1
10,opek,EverlastingInferno,1
11,saltmarquis,EverlastingInferno,1
12,saltmarquis,Akitten,2
13,saltmarquis,Promotheos,2
14,Akitten,saltmarquis,2
15,Promotheos,saltmarquis,2
16,StringerBell9,EverlastingInferno,4
17,StringerBell9,Aim_2_misbehave,1
18,StringerBell9,Speckles,2
19,StringerBell9,Devlyn,1
20,StringerBell9,Redbrick29,3
21,StringerBell9,irishking44,2
22,DaSuHouse,StringerBell9,1
23,polysyndetonic,EverlastingInferno,1
24,polysyndetonic,Aim_2_misbehave,1
25,Aim_2_misbehave,polysyndetonic,1
26,Aim_2_misbehave,Kutbil-ik,1
27,Aim_2_misbehave,StringerBell9,1
28,Speckles,StringerBell9,3
29,not_homestuck,EverlastingInferno,1
30,richardboucher,not_homestuck,1
31,richardboucher,Not_Just_You,1
32,richardboucher,scifiking,1
33,all_thetime,EverlastingInferno,1
34,all_thetime,Arizth,1
35,Arizth,all_thetime,1
36,joatmon-snoo,EverlastingInferno,1
37,Tsiaaw,joatmon-snoo,1
38,Tsiaaw,Dd_8630,2
39,Kutbil-ik,StringerBell9,1
40,Kutbil-ik,totallynotliamneeson,2
41,Kutbil-ik,DocMcNinja,1
42,youonlylive2wice,Aim_2_misbehave,1
43,youonlylive2wice,waldrop02,4
44,youonlylive2wice,totallynotliamneeson,1
45,youonlylive2wice,thatoneguy54,1
46,youonlylive2wice,kerouacrimbaud,1
47,waldrop02,youonlylive2wice,3
48,totallynotliamneeson,Kutbil-ik,2
49,thatoneguy54,youonlylive2wice,1
50,thatoneguy54,EverlastingInferno,1
51,thatoneguy54,PuleaSpataru69,2
52,kerouacrimbaud,youonlylive2wice,1
53,kerouacrimbaud,Aim_2_misbehave,1
54,kerouacrimbaud,tfresca,1
55,sarcazm,StringerBell9,1
56,Not_Just_You,sarcazm,1
57,DeletedMy3rdAccount,kerouacrimbaud,1
58,scifiking,StringerBell9,1
59,on_my_lunch_break,StringerBell9,1
60,LJHalfbreed,on_my_lunch_break,1
61,Devlyn,StringerBell9,1
62,Redbrick29,StringerBell9,3
63,irishking44,StringerBell9,2
64,PuleaSpataru69,EverlastingInferno,1
65,PuleaSpataru69,PrettySneaky71,2
66,PuleaSpataru69,thatoneguy54,2
67,PrettySneaky71,PuleaSpataru69,2
68,DocMcNinja,EverlastingInferno,1
69,JNelson_,EverlastingInferno,1
70,JNelson_,ZeusThunder369,1
71,ZeusThunder369,JNelson_,2
72,ZeusThunder369,Gregoric399,1
73,elasticretreat,EverlastingInferno,1
74,WhiteCrake,elasticretreat,1
75,WhiteCrake,Dd_8630,1
76,WhiteCrake,tsiru12,1
77,Dd_8630,WhiteCrake,2
78,Dd_8630,Tsiaaw,1
79,tsiru12,WhiteCrake,1
80,NoRealsOnlyFeels,WhiteCrake,1
81,NoRealsOnlyFeels,choopie,1
82,choopie,NoRealsOnlyFeels,1
83,RainbowPopsicle,elasticretreat,1
84,DashingLeech,elasticretreat,1
85,tfresca,DashingLeech,1
86,Personage1,kerouacrimbaud,1
87,Larkyo,DashingLeech,1
88,GalacticCow,elasticretreat,1
89,Gregoric399,EverlastingInferno,1
90,kapten_krok,ZeusThunder369,1
91,jt4,EverlastingInferno,1
92,meltingintoice,EverlastingInferno,1
93,ApeTit4TwoHundred,meltingintoice,1
94,LeopoldTheLlama,EverlastingInferno,1
95,Coziestpigeon2,EverlastingInferno,1
96,FerrumFist,Coziestpigeon2,1
97,Faemn,FerrumFist,1
98,Kallipolan,EverlastingInferno,1
99,Kallipolan,Emijah1,2
100,Emijah1,Kallipolan,3
101,Emijah1,lackingsaint,3
102,Emijah1,opsidenta,1
103,Emijah1,cheertina,3
104,lackingsaint,Emijah1,4
105,Spacefungi,Emijah1,1
106,opsidenta,Emijah1,1
107,cheertina,Emijah1,3
108,alexskc95,Emijah1,1
109,Aristoshit,alexskc95,1
110,Izawwlgood,EverlastingInferno,1
111,Beake,EverlastingInferno,1
112,hyperforce,EverlastingInferno,3
113,ThisIceAintNice,EverlastingInferno,1
114,aquantiV,ThisIceAintNice,1
115,EjaculationStorm,EverlastingInferno,1
