,Source,Target,Weight
0,tbdabbholm,morflegober,1
1,in_cavediver,tbdabbholm,1
2,in_cavediver,UncleMeat11,2
3,in_cavediver,Linuxmoose5000,1
4,in_cavediver,zardeh,40
5,UncleMeat11,in_cavediver,2
6,Linuxmoose5000,in_cavediver,1
7,Linuxmoose5000,morflegober,2
8,Linuxmoose5000,Aeternalis_,3
9,Linuxmoose5000,hacksoncode,1
10,zardeh,morflegober,2
11,zardeh,in_cavediver,38
12,zardeh,ellipses1,5
13,morflegober,zardeh,2
14,morflegober,Milskidasith,1
15,morflegober,thedylanackerman,1
16,morflegober,DeathSlyce,2
17,ellipses1,zardeh,6
18,Milskidasith,morflegober,2
19,Milskidasith,greed_and_death,1
20,Milskidasith,Floppuh,3
21,greed_and_death,Milskidasith,1
22,Floppuh,Milskidasith,4
23,kublahkoala,morflegober,1
24,kublahkoala,anooblol,1
25,anooblol,kublahkoala,1
26,Emijah1,kublahkoala,1
27,winglerw28,Emijah1,1
28,winglerw28,thedylanackerman,1
29,thedylanackerman,morflegober,2
30,thedylanackerman,missmymom,2
31,thedylanackerman,Good_FIbrations,1
32,thedylanackerman,AloysiusC,4
33,missmymom,thedylanackerman,2
34,Good_FIbrations,thedylanackerman,1
35,AloysiusC,thedylanackerman,5
36,AloysiusC,gamesterdude,1
37,Aeternalis_,Linuxmoose5000,3
38,hacksoncode,Linuxmoose5000,1
39,BreeCC,morflegober,1
40,BreeCC,fenderkruse,1
41,BreeCC,Klarkson1273,4
42,fenderkruse,BreeCC,1
43,Klarkson1273,BreeCC,5
44,gamesterdude,morflegober,1
45,No_212,morflegober,1
46,No_212,dokushin,2
47,dokushin,No_212,2
48,DeathSlyce,morflegober,3
49,DeathSlyce,DOCisaPOG,6
50,DOCisaPOG,DeathSlyce,6
51,-paperbrain-,morflegober,1
52,-paperbrain-,AnyDream,1
53,AnyDream,-paperbrain-,1
