,Source,Target,Weight
0,MrCapitalismWildRide,throwawayA0K,1
1,ericoahu,MrCapitalismWildRide,1
2,ericoahu,Jaysank,2
3,Jaysank,ericoahu,2
4,586230,throwawayA0K,1
5,throwawayA0K,586230,1
6,throwawayA0K,Huntingmoa,13
7,throwawayA0K,Bluezephr,22
8,throwawayA0K,WF187,1
9,throwawayA0K,TheVioletBarry,2
10,throwawayA0K,stink3rbelle,2
11,throwawayA0K,Big_Pete_,12
12,throwawayA0K,huadpe,2
13,throwawayA0K,ThomasEdmund84,7
14,throwawayA0K,BlockNotDo,1
15,throwawayA0K,DCarrier,2
16,throwawayA0K,MoralSatire,8
17,throwawayA0K,GnosticGnome,3
18,throwawayA0K,Iswallowedafly,2
19,throwawayA0K,figsbar,1
20,throwawayA0K,BlowItUpForScience,1
21,throwawayA0K,Quantum_Queen,1
22,Huntingmoa,throwawayA0K,14
23,Bluezephr,throwawayA0K,24
24,WF187,throwawayA0K,2
25,TheVioletBarry,throwawayA0K,2
26,stink3rbelle,throwawayA0K,2
27,Big_Pete_,throwawayA0K,13
28,huadpe,throwawayA0K,2
29,ThomasEdmund84,throwawayA0K,7
30,BlockNotDo,throwawayA0K,1
31,DCarrier,throwawayA0K,2
32,MoralSatire,throwawayA0K,8
33,GnosticGnome,throwawayA0K,4
34,Iswallowedafly,throwawayA0K,2
35,figsbar,throwawayA0K,1
36,BlowItUpForScience,throwawayA0K,1
37,Quantum_Queen,throwawayA0K,1
