,Source,Target,Weight
0,tchaffee,_SONNEILLON,4
1,tchaffee,renoops,2
2,tchaffee,CLIFFORDRight,2
3,_SONNEILLON,tchaffee,2
4,_SONNEILLON,clearliquidclearjar,1
5,_SONNEILLON,party-in-here,1
6,_SONNEILLON,coleman57,1
7,_SONNEILLON,proofofinsurance,1
8,ajarndaniel,tchaffee,1
9,ajarndaniel,neurilax,2
10,BlitzBasic,ajarndaniel,1
11,neurilax,ajarndaniel,3
12,JoelChanson,_SONNEILLON,1
13,spludgemaster,JoelChanson,1
14,renoops,tchaffee,2
15,CLIFFORDRight,tchaffee,2
16,clearliquidclearjar,_SONNEILLON,1
17,LeeHarveyMozgod,_SONNEILLON,1
18,ellipses1,LeeHarveyMozgod,1
19,party-in-here,_SONNEILLON,1
20,Cilicia,_SONNEILLON,1
21,Tecnocazuela,_SONNEILLON,1
22,thekonzo,Tecnocazuela,1
23,thekonzo,Tawptuan,1
24,Tawptuan,thekonzo,1
25,coleman57,_SONNEILLON,1
26,proofofinsurance,_SONNEILLON,1
