,Source,Target,Weight
0,PreacherJudge,minerva_qw,2
1,PreacherJudge,exosequitur,1
2,PreacherJudge,hacksoncode,2
3,minerva_qw,PreacherJudge,1
4,minerva_qw,exosequitur,2
5,minerva_qw,forestfly1234,1
6,minerva_qw,yaxamie,1
7,minerva_qw,swebsies,1
8,minerva_qw,SuperUncoolGuy,1
9,minerva_qw,TrunaDragon,1
10,minerva_qw,badoosh123,1
11,minerva_qw,Trenks,1
12,minerva_qw,sonofaresiii,2
13,minerva_qw,MrDopple,1
14,minerva_qw,lindygrey,1
15,minerva_qw,Kahnonymous,1
16,exosequitur,PreacherJudge,2
17,exosequitur,minerva_qw,3
18,exosequitur,PorkyPotPie,1
19,PorkyPotPie,exosequitur,1
20,hacksoncode,PreacherJudge,2
21,hacksoncode,swebsies,1
22,Alacritous,PreacherJudge,1
23,Alacritous,lerdnord,2
24,lerdnord,Alacritous,2
25,dontrain1111,Alacritous,1
26,forestfly1234,minerva_qw,1
27,yaxamie,minerva_qw,1
28,MisanthropeX,minerva_qw,1
29,Tynach,MisanthropeX,1
30,Tynach,badoosh123,2
31,swebsies,minerva_qw,1
32,swebsies,SearingEnigma,1
33,embracing_insanity,minerva_qw,1
34,SearingEnigma,swebsies,2
35,SuperUncoolGuy,minerva_qw,2
36,TrunaDragon,minerva_qw,1
37,MINECRAFT_BIOLOGIST,TrunaDragon,1
38,leDesespoir,minerva_qw,1
39,r3dwash,leDesespoir,1
40,jimethn,r3dwash,1
41,sunsour,SuperUncoolGuy,1
42,badoosh123,minerva_qw,3
43,badoosh123,Tynach,2
44,Trenks,badoosh123,1
45,inkman,minerva_qw,1
46,inkman,ferulic9mm,1
47,ferulic9mm,inkman,1
48,sonofaresiii,minerva_qw,3
49,MrDopple,minerva_qw,1
50,lindygrey,minerva_qw,2
51,Kahnonymous,minerva_qw,1
