,Source,Target,Weight
0,skepticetoh,Kluizenaer,1
1,skepticetoh,tedfitzy,2
2,skepticetoh,Chel_of_the_sea,1
3,skepticetoh,AllOfEverythingEver,2
4,skepticetoh,aggsalad,1
5,skepticetoh,z3r0shade,2
6,skepticetoh,TS1307,55
7,skepticetoh,BlckJck103,1
8,skepticetoh,Pot_MeetKettle,1
9,skepticetoh,Vasquerade,1
10,skepticetoh,1000ancestors,3
11,skepticetoh,uyoos2uyoos2,3
12,tedfitzy,skepticetoh,2
13,tedfitzy,Geralt_of_Rivia1,1
14,tedfitzy,moonflower,2
15,Geralt_of_Rivia1,tedfitzy,1
16,Geralt_of_Rivia1,noisewar,1
17,moonflower,Kluizenaer,1
18,moonflower,tedfitzy,1
19,Chel_of_the_sea,anonoman925,2
20,AllOfEverythingEver,skepticetoh,2
21,aggsalad,skepticetoh,2
22,aggsalad,BistuaNova,1
23,BistuaNova,aggsalad,1
24,z3r0shade,skepticetoh,2
25,TS1307,skepticetoh,54
26,TS1307,ozewe,1
27,TS1307,Geralt_of_Rivia1,1
28,TS1307,My3CentsWorth,3
29,ozewe,TS1307,2
30,PmYourWittyAnecdote,z3r0shade,1
31,yunyun333,skepticetoh,1
32,Poutrator,yunyun333,1
33,anonoman925,Chel_of_the_sea,3
34,ShreddingRoses,skepticetoh,1
35,My3CentsWorth,TS1307,3
36,Pot_MeetKettle,skepticetoh,1
37,1000ancestors,skepticetoh,2
38,uyoos2uyoos2,skepticetoh,3
