,Source,Target,Weight
0,fox-mcleod,C21H27Cl3N2O3,3
1,fox-mcleod,dickposner,3
2,fox-mcleod,kino2012,1
3,dickposner,fox-mcleod,3
4,dickposner,KerbalFactorioLeague,3
5,dickposner,yunyun333,1
6,dickposner,Qwerty_Resident,10
7,dickposner,C21H27Cl3N2O3,1
8,dickposner,Grunt08,2
9,Feroc,dickposner,1
10,KerbalFactorioLeague,dickposner,4
11,yunyun333,dickposner,1
12,Qwerty_Resident,dickposner,11
13,Qwerty_Resident,cupcakesarethedevil,2
14,C21H27Cl3N2O3,fox-mcleod,2
15,C21H27Cl3N2O3,cupcakesarethedevil,6
16,C21H27Cl3N2O3,Qwerty_Resident,1
17,C21H27Cl3N2O3,annoinferno,4
18,C21H27Cl3N2O3,Status_Flux,1
19,C21H27Cl3N2O3,socrates200X,1
20,C21H27Cl3N2O3,stratys3,2
21,C21H27Cl3N2O3,dickposner,1
22,C21H27Cl3N2O3,Grunt08,5
23,C21H27Cl3N2O3,galacticsuperkelp,2
24,C21H27Cl3N2O3,techiemikey,1
25,C21H27Cl3N2O3,KevinWester,1
26,C21H27Cl3N2O3,suddenly_ponies,1
27,C21H27Cl3N2O3,themattydor,1
28,C21H27Cl3N2O3,Valnar,2
29,C21H27Cl3N2O3,ohNOginger,4
30,C21H27Cl3N2O3,Jaysank,2
31,C21H27Cl3N2O3,skinbearxett,1
32,C21H27Cl3N2O3,rainbows5ever,1
33,kino2012,C21H27Cl3N2O3,1
34,cupcakesarethedevil,C21H27Cl3N2O3,6
35,cupcakesarethedevil,Qwerty_Resident,1
36,annoinferno,C21H27Cl3N2O3,5
37,Status_Flux,C21H27Cl3N2O3,1
38,socrates200X,C21H27Cl3N2O3,1
39,stratys3,C21H27Cl3N2O3,2
40,Grunt08,C21H27Cl3N2O3,6
41,Grunt08,dickposner,2
42,galacticsuperkelp,C21H27Cl3N2O3,2
43,techiemikey,C21H27Cl3N2O3,1
44,KevinWester,C21H27Cl3N2O3,1
45,suddenly_ponies,C21H27Cl3N2O3,2
46,themattydor,C21H27Cl3N2O3,2
47,Valnar,C21H27Cl3N2O3,3
48,ohNOginger,C21H27Cl3N2O3,5
49,Jaysank,C21H27Cl3N2O3,3
50,skinbearxett,C21H27Cl3N2O3,1
51,rainbows5ever,C21H27Cl3N2O3,1
