,Source,Target,Weight
0,Hq3473,donaldsw,3
1,Hq3473,VernonHines,2
2,Hq3473,sarcasmandsocialism,1
3,Hq3473,PuffyPanda200,1
4,donaldsw,Hq3473,2
5,donaldsw,DoctorMoneyStacks,1
6,donaldsw,Ardonpitt,1
7,donaldsw,conventionistG,2
8,donaldsw,fox-mcleod,1
9,donaldsw,mad_poet_navarth,1
10,donaldsw,Borgphoenix,1
11,donaldsw,Mdcastle,1
12,pjr10th,donaldsw,1
13,JonGinty,pjr10th,1
14,VernonHines,Hq3473,2
15,DoctorMoneyStacks,donaldsw,1
16,sarcasmandsocialism,Hq3473,2
17,PuffyPanda200,Hq3473,2
18,Ardonpitt,donaldsw,1
19,conventionistG,donaldsw,3
20,fox-mcleod,donaldsw,1
21,mad_poet_navarth,donaldsw,2
22,icyMG,donaldsw,1
23,icyMG,OktoberForever,1
24,OktoberForever,icyMG,1
25,Borgphoenix,donaldsw,1
26,Borgphoenix,DeltaBot,1
27,DeltaBot,donaldsw,1
28,MutinyGMV,donaldsw,1
29,MutinyGMV,_busch,3
30,_busch,MutinyGMV,3
31,Mdcastle,donaldsw,1
