,Source,Target,Weight
0,atomic_mermaid,EconomistMagazine,1
1,EconomistMagazine,atomic_mermaid,1
2,EconomistMagazine,philotrow,3
3,philotrow,EconomistMagazine,4
4,philotrow,Raresandrei,1
5,bubi09,EconomistMagazine,1
6,Raresandrei,philotrow,1
7,Raresandrei,stratys3,1
8,roussell131,EconomistMagazine,1
9,roussell131,YabuSama2k,4
10,roussell131,premium_mud,1
11,YabuSama2k,roussell131,5
12,YabuSama2k,Floriane007,1
13,YabuSama2k,forestfly1234,2
14,YabuSama2k,stratys3,1
15,YabuSama2k,lifeonthegrid,1
16,YabuSama2k,mylifeisprettyplain,3
17,YabuSama2k,Madplato,8
18,YabuSama2k,Gobias11,1
19,YabuSama2k,DerWasserspeier,5
20,YabuSama2k,Iustinianus_I,3
21,YabuSama2k,Ragdoll_Proletariat,2
22,premium_mud,roussell131,2
23,YenTheFirst,EconomistMagazine,1
24,YenTheFirst,MyPenisIsaWMD,1
25,MyPenisIsaWMD,YenTheFirst,2
26,Nepene,EconomistMagazine,1
27,Nepene,CurryF4rts,1
28,CurryF4rts,Nepene,1
29,Floriane007,EconomistMagazine,1
30,forestfly1234,EconomistMagazine,1
31,forestfly1234,YabuSama2k,1
32,stratys3,EconomistMagazine,1
33,stratys3,Raresandrei,1
34,stratys3,Leagle_Egal,1
35,Leagle_Egal,stratys3,1
36,lifeonthegrid,YabuSama2k,1
37,Dinaverg,EconomistMagazine,1
38,mylifeisprettyplain,Dinaverg,1
39,mylifeisprettyplain,YabuSama2k,2
40,Madplato,EconomistMagazine,1
41,Madplato,YabuSama2k,7
42,Gobias11,EconomistMagazine,1
43,DerWasserspeier,EconomistMagazine,1
44,DerWasserspeier,YabuSama2k,4
45,Iustinianus_I,EconomistMagazine,1
46,Iustinianus_I,YabuSama2k,2
47,Ragdoll_Proletariat,EconomistMagazine,1
48,Ragdoll_Proletariat,YabuSama2k,2
